Rep	theta_norm	Y_norm	MLE_Err	Bayes_Err	Win	bya	c_value	bya_breakpoint
0158	0.00000	6.88652	47.42418	0.00000	47.42418	19.53813	0.99316	0.15527
0159	0.00000	7.47785	55.91829	1.12127	54.79702	14.94376	0.98926	0.00000
0160	0.00000	8.04197	64.67332	4.29852	60.37480	11.80528	0.98340	0.00000
0161	0.00000	6.49158	42.14056	0.00000	42.14056	25.84860	0.99707	0.55566
0162	0.00000	7.23191	52.30045	0.35361	51.94685	16.57281	0.98926	0.00000
0163	0.00000	7.66873	58.80940	1.98681	56.82259	13.79600	0.98730	0.00000
0164	0.00000	8.63602	74.58085	9.47350	65.10735	9.20326	0.97949	0.00000
0165	0.00000	8.37344	70.11458	6.97508	63.13950	10.27759	0.98145	0.00000
0166	0.00000	7.58703	57.56297	1.58870	55.97427	14.27564	0.98730	0.00000
0167	0.00000	6.45711	41.69425	0.00000	41.69425	26.38422	0.99902	0.58496
0168	0.00000	6.36953	40.57094	0.00000	40.57094	27.73426	0.99902	0.65332
0169	0.00000	7.59816	57.73211	1.64058	56.09153	14.20924	0.98730	0.00000
0170	0.00000	6.73419	45.34931	0.00000	45.34931	22.00992	0.99512	0.32129
0171	0.00000	7.34973	54.01855	0.67057	53.34799	15.77000	0.98926	0.00000
0172	0.00000	7.78033	60.53349	2.59507	57.93843	13.16752	0.98535	0.00000
0173	0.00000	7.26672	52.80527	0.43728	52.36799	16.33112	0.98926	0.00000
0174	0.00000	7.17415	51.46849	0.23374	51.23475	16.98224	0.99121	0.00000
0175	0.00000	6.58605	43.37608	0.00000	43.37608	24.36808	0.99707	0.46973
0176	0.00000	5.19846	27.02395	0.00000	27.02395	42.50455	0.99902	0.99316
0177	0.00000	7.12709	50.79546	0.15384	50.64161	17.32397	0.99121	0.00000
0178	0.00000	6.15478	37.88130	0.00000	37.88130	30.97908	0.99902	0.79199
0179	0.00000	6.27607	39.38903	0.00000	39.38903	29.15791	0.99902	0.71973
0180	0.00000	6.49094	42.13224	0.00000	42.13224	25.85858	0.99707	0.55566
